15,7,9,8,16,14,11,12,18,17,22,1,2,24_10,20,19,13,5,4,6,21,3,26,23,29,27,25:0.406685
8,20,16,14,11,4,6,17,22,3,26,23,29,27_15,7,9,10,19,12,18,13,5,21,1,2,25,24:0.331705
8,20,19,14,12,6,21,17,22,3,26,2,25,24_15,7,9,10,16,11,18,13,5,4,1,23,29,27:0.366678
15,7,10,8,20,5,6,22,26,23,29,2,27,25_9,16,19,14,11,12,18,13,4,21,17,1,3,24:0.408517
15,7,10,8,16,19,12,13,5,4,17,1,3,2_9,20,14,11,18,6,21,22,26,23,29,27,25,24:0.338344
20,14,11,18,5,6,21,1,3,26,23,29,2,24_15,7,9,10,8,16,19,12,13,4,17,22,27,25:0.441145
7,9,14,12,18,13,5,4,6,21,17,3,27,25_15,10,8,20,16,19,11,22,1,26,23,29,2,24:0.364503
7,9,10,20,19,14,18,5,3,26,29,27,25,24_15,8,16,11,12,13,4,6,21,17,22,1,23,2:0.324555
9,10,20,16,19,11,12,13,21,22,1,2,27,25_15,7,8,14,18,5,4,6,17,3,26,23,29,24:0.497724
7,9,8,16,18,5,6,21,17,22,3,23,29,24_15,10,20,19,14,11,12,13,4,1,26,2,27,25:0.454526
7,8,16,11,12,13,5,4,21,22,23,29,2,27_15,9,10,20,19,14,18,6,17,1,3,26,25,24:0.333012
7,8,18,13,5,4,17,22,1,26,23,2,27,25_15,9,10,20,16,19,14,11,12,6,21,3,29,24:0.404152
7,9,8,14,18,5,4,6,21,17,29,27,25,24_15,10,20,16,19,11,12,13,22,1,3,26,23,2:0.460288
9,10,8,19,11,12,18,1,3,26,29,2,27,25_15,7,20,16,14,13,5,4,6,21,17,22,23,24:0.4928
15,10,20,19,11,12,18,17,3,26,29,27,25,24_7,9,8,16,14,13,5,4,6,21,22,1,23,2:0.44665
15,20,16,19,5,4,6,21,1,3,26,29,2,24_7,9,10,8,14,11,12,18,13,17,22,23,27,25:0.730013
9,8,20,16,19,14,11,12,5,4,22,23,29,25_15,7,10,18,13,6,21,17,1,3,26,2,27,24:0.354394
15,7,9,20,14,11,12,13,17,22,3,26,23,27_10,8,16,19,18,5,4,6,21,1,29,2,25,24:0.346799
10,8,20,16,12,18,4,6,17,3,23,2,27,25_15,7,9,19,14,11,13,5,21,22,1,26,29,24:0.317976
7,9,20,16,14,12,18,13,5,4,21,22,2,27_15,10,8,19,11,6,17,1,3,26,23,29,25,24:0.317132
15,8,19,12,18,5,4,6,17,22,26,23,2,27_7,9,10,20,16,14,11,13,21,1,3,29,25,24:0.380587
15,7,16,19,14,11,12,18,13,5,3,27,25,24_9,10,8,20,4,6,21,17,22,1,26,23,29,2:0.352298
7,20,19,11,12,13,4,21,17,26,23,29,2,25_15,9,10,8,16,14,18,5,6,22,1,3,27,24:0.359633
7,9,10,19,14,11,12,13,4,22,1,3,26,2_15,8,20,16,18,5,6,21,17,23,29,27,25,24:0.421817
15,7,9,10,8,16,19,11,5,4,21,3,2,25_20,14,12,18,13,6,17,22,1,26,23,29,27,24:0.486304
