15,9,8,20,19,14,11,18,13,5,17,3,27,25_7,10,16,12,4,6,21,22,1,26,23,29,2,24:0.919374:15,9,8,20,19,14,11,18,13,5,17,3,27,25_7,10,16,12,4,6,21,22,1,26,23,29,2,24:0.919374:15,9,8,20,19,14,11,18,13,5,17,3,27,25_7,10,16,12,4,6,21,22,1,26,23,29,2,24:0.00212237:15,9,8,20,19,14,11,18,13,5,17,3,27,25_7,10,16,12,4,6,21,22,1,26,23,29,2,24:0.00146008
7,9,19,11,18,13,4,6,17,1,3,26,29,24_15,10,8,20,16,14,12,5,21,22,23,2,27,25:0.919572:7,9,19,11,18,13,4,6,17,1,3,26,29,24_15,10,8,20,16,14,12,5,21,22,23,2,27,25:0.919572:7,9,19,11,18,13,4,6,17,1,3,26,29,24_15,10,8,20,16,14,12,5,21,22,23,2,27,25:0.00212283:7,9,19,11,18,13,4,6,17,1,3,26,29,24_15,10,8,20,16,14,12,5,21,22,23,2,27,25:0.00143973
15,16,19,14,11,12,13,4,6,21,17,22,23,29_7,9,10,8,20,18,5,1,3,26,2,27,25,24:0.940063:15,16,19,14,11,12,13,4,6,21,17,22,23,29_7,9,10,8,20,18,5,1,3,26,2,27,25,24:0.940063:15,16,19,14,11,12,13,4,6,21,17,22,23,29_7,9,10,8,20,18,5,1,3,26,2,27,25,24:0.00217013:15,16,19,14,11,12,13,4,6,21,17,22,23,29_7,9,10,8,20,18,5,1,3,26,2,27,25,24:0.00154435
15,7,9,10,14,11,12,18,4,21,26,23,29,25_8,20,16,19,13,5,6,17,22,1,3,2,27,24:0.939321:15,7,9,10,14,11,12,18,4,21,26,23,29,25_8,20,16,19,13,5,6,17,22,1,3,2,27,24:0.939321:15,7,9,10,14,11,12,18,4,21,26,23,29,25_8,20,16,19,13,5,6,17,22,1,3,2,27,24:0.00216842:15,7,9,10,14,11,12,18,4,21,26,23,29,25_8,20,16,19,13,5,6,17,22,1,3,2,27,24:0.00154357
7,9,10,20,19,11,5,17,1,3,26,23,29,25_15,8,16,14,12,18,13,4,6,21,22,2,27,24:0.919238:7,9,10,20,19,11,5,17,1,3,26,23,29,25_15,8,16,14,12,18,13,4,6,21,22,2,27,24:0.919238:7,9,10,20,19,11,5,17,1,3,26,23,29,25_15,8,16,14,12,18,13,4,6,21,22,2,27,24:0.00212205:7,9,10,20,19,11,5,17,1,3,26,23,29,25_15,8,16,14,12,18,13,4,6,21,22,2,27,24:0.00144989
9,16,11,12,13,4,6,17,22,3,23,29,27,25_15,7,10,8,20,19,14,18,5,21,1,26,2,24:0.919658:9,16,11,12,13,4,6,17,22,3,23,29,27,25_15,7,10,8,20,19,14,18,5,21,1,26,2,24:0.919658:9,16,11,12,13,4,6,17,22,3,23,29,27,25_15,7,10,8,20,19,14,18,5,21,1,26,2,24:0.00212303:9,16,11,12,13,4,6,17,22,3,23,29,27,25_15,7,10,8,20,19,14,18,5,21,1,26,2,24:0.00143839
8,20,19,14,11,12,13,5,3,23,29,2,25,24_15,7,9,10,16,18,4,6,21,17,22,1,26,27:0.919374:8,20,19,14,11,12,13,5,3,23,29,2,25,24_15,7,9,10,16,18,4,6,21,17,22,1,26,27:0.919374:8,20,19,14,11,12,13,5,3,23,29,2,25,24_15,7,9,10,16,18,4,6,21,17,22,1,26,27:0.00212237:8,20,19,14,11,12,13,5,3,23,29,2,25,24_15,7,9,10,16,18,4,6,21,17,22,1,26,27:0.00143978
9,10,20,14,11,12,13,4,6,17,22,3,29,2_15,7,8,16,19,18,5,21,1,26,23,27,25,24:0.938942:9,10,20,14,11,12,13,4,6,17,22,3,29,2_15,7,8,16,19,18,5,21,1,26,23,27,25,24:0.938942:9,10,20,14,11,12,13,4,6,17,22,3,29,2_15,7,8,16,19,18,5,21,1,26,23,27,25,24:0.00225977:9,10,20,14,11,12,13,4,6,17,22,3,29,2_15,7,8,16,19,18,5,21,1,26,23,27,25,24:0.00156229
15,10,16,14,11,18,13,6,21,22,23,29,2,27_7,9,8,20,19,12,5,4,17,1,3,26,25,24:0.940151:15,10,16,14,11,18,13,6,21,22,23,29,2,27_7,9,8,20,19,12,5,4,17,1,3,26,25,24:0.940151:15,10,16,14,11,18,13,6,21,22,23,29,2,27_7,9,8,20,19,12,5,4,17,1,3,26,25,24:0.00217033:15,10,16,14,11,18,13,6,21,22,23,29,2,27_7,9,8,20,19,12,5,4,17,1,3,26,25,24:0.00151239
9,20,11,12,5,4,21,17,22,1,3,26,27,25_15,7,10,8,16,19,14,18,13,6,23,29,2,24:0.94049:9,20,11,12,5,4,21,17,22,1,3,26,27,25_15,7,10,8,16,19,14,18,13,6,23,29,2,24:0.94049:9,20,11,12,5,4,21,17,22,1,3,26,27,25_15,7,10,8,16,19,14,18,13,6,23,29,2,24:0.00217112:9,20,11,12,5,4,21,17,22,1,3,26,27,25_15,7,10,8,16,19,14,18,13,6,23,29,2,24:0.00150612
